id,name,slug,description,order
19,Wellness Teas,wellness-teas,"100% Natural, herbal formulations designed to target specific health goals with zero side effects.",1
20,Flavour Teas,flavour-teas,Aromatic and refreshing teas made from premium ingredients for daily wellness.,2
21,Plant Based Protein,plant-protein,"100% Natural, zero preservatives, gluten-free traditional energy booster.",3
22,Infused Water,infused-water,Cellular detox and gut restoration beverages.,4
23,Others,others,Specialized natural wellness products.,5
24,Diet Consultation,diet-consultation,Personalized diet plans tailored to your specific health goals.,6
